java.util.List.iterator(),HashSet.Iterator()__IList.Iterator()
java.util.Deque.size(),FieldValueHitQueue.Size()
java.util.TreeSet.remove(Object),Sharpen.TreeSet.Remove(object)__System.Collections.Hashtable.Remove(Object)__NPOI.POIFS.FileSystem.POIFSFileSystem.Remove(EntryNode)
"java.util.Vector.add(int,E)",StClass.Add()__System.Collections.ArrayList.Add(Object)__HandCoded.Xml.MutableNodeList.Add(XmlNode)__System.Data.Common.Utils.Set.Add(TElement)
"java.util.EnumMap.put(K,V)",byte.Put()
java.lang.Thread.getName(),Sharpen.GetName()
java.util.ArrayList.iterator(),HashSet.Iterator()__Dictionary.Iterator()__List.Iterator()
java.math.BigInteger.bitCount(),NPOI.Util.BigInteger.BitCount()
"java.lang.StringBuilder.insert(int,char,int,int)","System.Text.StringBuilder.Insert(int,float)"
java.util.BitSet.get(int),System.Collections.System.Collections.Generic.BitArray.Get(int)__BytesRefHash.Get()
java.net.Socket.setSoTimeout(int),Sharpen.SetSoTimeout()
java.close(),int.Close()__System.IO.TextReader.Close()__System.IO.StreamWriter.Close()__System.IO.TextWriter.Close()__Db4objects.Db4o.CS.Internal.ClientTransactionPool.Close()__System.IO.StreamReader.Close()__NGit.Util.IO.TimeoutOutputStream.Close()__Sharpen.Close()__InterruptTimer.Close()
java.util.Calendar.setTimeZone(TimeZone),iText.Kernel.XMP.XMPCalendar.SetTimeZone(TimeZoneInfo)
java.util.TreeMap.values(),SortedDictionary.Values()__SortedList.Values()
java.util.ArrayList.toArray(),System.Collections.Generic.List.ToArray()__var.ToArray()__StreamReader.ToArray()__IList.ToArray()
java.util.Set.isEmpty(),ICollection.IsEmpty()__Sharpen.LinkedHashMap.IsEmpty()
java.util.Random.nextBoolean(),Random.NextBoolean()__Random.nextBoolean()__var.NextBoolean()
java.util.Collection.remove(Object),System.Collections.Generic.List.Remove(T)
java.util.zip.DeflaterOutputStream.close(),DeflaterOutputStream.Close()__ZipInputStream.Close()__TransportObjectContainer.Close()
java.util.Hashtable.clear(),System.Clear()__Collections.Clear()
java.io.OutputStreamWriter.flush(),"OutputStreamWriter.Flush()__System.IO.StreamWriter.Flush(bool,bool)"
